,Movies,Year,Certificate,IMDB,Metascore,Votes,Gross,Runtime,Genre,Description
4759,Spider-Man: Far from Home,2019,PG-13,7.5,69.0,1341716,390532085,129,"Action, Adventure, Sci-Fi","Following the events of Avengers: Endgame (2019), Spider-Man must step up to take on new threats in a world that has changed forever."
4760,Jojo Rabbit,2019,PG-13,7.9,58.0,1341716,349555,108,"Comedy, Drama, War",A young boy in Hitler's army finds out his mother is hiding a Jewish girl in their home.
4761,Ford v Ferrari,2019,PG-13,8.1,81.0,1341716,117624028,152,"Action, Biography, Drama",American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.
4762,John Wick: Chapter 3 - Parabellum,2019,R,7.4,73.0,1341716,171015687,130,"Action, Crime, Thriller","John Wick is on the run after killing a member of the international assassins' guild, and with a $14 million price tag on his head, he is the target of hit men and women everywhere."
4763,Shazam!,2019,PG-13,7.0,71.0,1341716,140371656,132,"Action, Adventure, Comedy",A newly fostered young boy in search of his mother instead finds unexpected super powers and soon gains a powerful enemy.
4764,Marriage Story,2019,R,7.9,94.0,1341716,2000000,137,"Comedy, Drama, Romance",Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together.
4765,The Gentlemen,2019,R,7.8,51.0,1341716,-1,113,"Action, Comedy, Crime","An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him."
4766,Alita: Battle Angel,2019,PG-13,7.3,53.0,1341716,85710210,122,"Action, Adventure, Sci-Fi","A deactivated cyborg's revived, but can't remember anything of her past and goes on a quest to find out who she is."
4767,Aladdin,2019,PG,6.9,53.0,1341716,355559216,128,"Adventure, Family, Fantasy",A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.
4768,Us,2019,R,6.8,81.0,1341716,175084580,116,"Horror, Mystery, Thriller",A family's serene beach vacation turns to chaos when their doppelgängers appear and begin to terrorize them.
4769,Uncut Gems,2019,R,7.4,91.0,1341716,-1,135,"Crime, Drama, Thriller","With his debts mounting and angry collectors closing in, a fast-talking New York City jeweler risks everything in hope of staying afloat and alive."
4770,The Lion King,2019,PG,6.9,55.0,1341716,543638043,118,"Animation, Adventure, Drama","After the murder of his father, a young lion prince flees his kingdom only to learn the true meaning of responsibility and bravery."
4771,Glass,2019,PG-13,6.7,43.0,1341716,111048468,129,"Drama, Sci-Fi, Thriller","Security guard David Dunn uses his supernatural abilities to track Kevin Wendell Crumb, a disturbed man who has twenty-four personalities."
4772,It Chapter Two,2019,R,6.5,58.0,1341716,211593228,169,"Drama, Fantasy, Horror","Twenty-seven years after their first encounter with the terrifying Pennywise, the Losers Club have grown up and moved away, until a devastating phone call brings them back."
4773,Toy Story 4,2019,G,7.8,84.0,1341716,434038008,100,"Animation, Adventure, Comedy","When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy."
4774,Midsommar,2019,R,7.1,72.0,1341716,27331977,148,"Drama, Horror, Mystery",A couple travels to Northern Europe to visit a rural hometown's fabled Swedish mid-summer festival. What begins as an idyllic retreat quickly devolves into an increasingly violent and bizarre competition at the hands of a pagan cult.
4775,Ad Astra,2019,PG-13,6.5,80.0,1341716,35397514,123,"Adventure, Drama, Mystery","Astronaut Roy McBride undertakes a mission across an unforgiving solar system to uncover the truth about his missing father and his doomed expedition that now, 30 years later, threatens the universe."
4776,Jumanji: The Next Level,2019,PG-13,6.7,58.0,1341716,316831246,123,"Action, Adventure, Comedy","In Jumanji: The Next Level, the gang is back but the game has changed. As they return to rescue one of their own, the players will have to brave parts unknown from arid deserts to snowy mountains, to escape the world's most dangerous game."
4777,El Camino: A Breaking Bad Movie,2019,TV-MA,7.3,72.0,1341716,-1,122,"Action, Crime, Drama","Fugitive Jesse Pinkman runs from his captors, the law, and his past."
4778,Fast & Furious Presents: Hobbs & Shaw,2019,PG-13,6.4,60.0,1341716,173956935,137,"Action, Adventure, Thriller","Lawman Luke Hobbs (Dwayne ""The Rock"" Johnson) and outcast Deckard Shaw (Jason Statham) form an unlikely alliance when a cyber-genetically enhanced villain threatens the future of humanity."
4779,The Platform,2019,TV-MA,7.0,73.0,1341716,-1,94,"Horror, Sci-Fi, Thriller",A vertical prison with one cell per level. Two people per cell. Only one food platform and two minutes per day to feed. An endless nightmare trapped in The Hole.
4780,X-Men: Dark Phoenix,2019,PG-13,5.7,43.0,1341716,65845974,113,"Action, Adventure, Sci-Fi","Jean Grey begins to develop incredible powers that corrupt and turn her into a Dark Phoenix, causing the X-Men to decide if her life is worth more than all of humanity."
4781,Terminator: Dark Fate,2019,R,6.2,54.0,1341716,62253077,128,"Action, Adventure, Sci-Fi","An augmented human and Sarah Connor must stop an advanced liquid Terminator from hunting down a young girl, whose fate is critical to the human race."
4782,Doctor Sleep,2019,R,7.3,59.0,1341716,-1,152,"Drama, Fantasy, Horror","Years following the events of The Shining (1980), a now-adult Dan Torrance must protect a young girl with similar powers from a cult known as The True Knot, who prey on children with powers to remain immortal."
4783,Little Women,2019,PG,7.8,91.0,1341716,108101214,135,"Drama, Romance","Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms."
4784,The Lighthouse,2019,R,7.5,83.0,1341716,427797,109,"Drama, Fantasy, Horror",Two lighthouse keepers try to maintain their sanity while living on a remote and mysterious New England island in the 1890s.
4785,Zombieland: Double Tap,2019,R,6.7,55.0,1341716,26803104,99,"Action, Adventure, Comedy","Columbus, Tallahassee, Wichita, and Little Rock move to the American heartland as they face off against evolved zombies, fellow survivors, and the growing pains of the snarky makeshift family."
4786,6 Underground,2019,R,6.1,41.0,1341716,-1,128,"Action, Thriller","Meet a new kind of action hero. Six untraceable agents, totally off the grid. They've buried their pasts so they can change the future."
4787,Pokémon Detective Pikachu,2019,PG,6.6,53.0,1341716,144105346,104,"Action, Adventure, Comedy","In a world where people collect Pokémon to do battle, a boy comes across an intelligent talking Pikachu who seeks to be a detective."
4788,Rocketman,2019,R,7.3,69.0,1341716,96368160,121,"Biography, Drama, Music",A musical fantasy about the fantastical human story of Elton John's breakthrough years.
